Miasto	Powiat	Województwo	Powierzchnia [ha] (01.01.2020)	Liczba ludności (01.01.2020)	Gęstość zaludnienia [osoby/km²] (01.01.2020)
Kańczuga	przeworski	podkarpackie	760	3163	416
Karczew	otwocki	mazowieckie	2812	9826	349
Kargowa	zielonogórski	lubuskie	455	3768	828
Karlino	białogardzki	zachodniopomorskie	940	5918	630
Karpacz	jeleniogórski	dolnośląskie	3799	4570	120
Kartuzy	kartuski	pomorskie	735	14483	1970
Katowice	Katowice[a]	śląskie	16464	292774	1778
Kazimierz Dolny	puławski	lubelskie	3044	2530	83
Kazimierza Wielka	kazimierski	świętokrzyskie	533	5523	1036
Kąty Wrocławskie	wrocławski	dolnośląskie	861	7001	813
Kcynia	nakielski	kujawsko-pomorskie	684	4617	675
Kędzierzyn-Koźle	kędzierzyńsko-kozielski	opolskie	12371	60641	490
Kępice	słupski	pomorskie	611	3575	585
Kępno	kępiński	wielkopolskie	779	14012	1799
Kętrzyn	kętrzyński	warmińsko-mazurskie	1035	27056	2614
Kęty	oświęcimski	małopolskie	2305	18623	808
Kielce	Kielce[a]	świętokrzyskie	10965	194852	1777
Kietrz	głubczycki	opolskie	1874	5951	318
Kisielice	iławski	warmińsko-mazurskie	337	2100	623
Kleczew	koniński	wielkopolskie	780	4151	532
Kleszczele	hajnowski	podlaskie	4671	1240	27
Klimontów	sandomierski	świętokrzyskie	467	1905	409
Kluczbork	kluczborski	opolskie	1235	23480	1901
Kłecko	gnieźnieński	wielkopolskie	962	2618	272
Kłobuck	kłobucki	śląskie	4746	12862	271
Kłodawa	kolski	wielkopolskie	431	6418	1489
Kłodzko	kłodzki	dolnośląskie	2484	26742	1077
Knurów	gliwicki	śląskie	3395	38112	1123
Knyszyn	moniecki	podlaskie	2368	2744	116
Kobylin	krotoszyński	wielkopolskie	487	3237	665
Kobyłka	wołomiński	mazowieckie	1964	24414	1243
Kock	lubartowski	lubelskie	1678	3273	195
Kolbuszowa	kolbuszowski	podkarpackie	798	9004	1128
Kolno	kolneński	podlaskie	2507	10199	407
Kolonowskie	strzelecki	opolskie	5570	3294	59
Koluszki	łódzki wschodni	łódzkie	990	12928	1306
Kołaczyce	jasielski	podkarpackie	715	1400	196
Koło	kolski	wielkopolskie	1385	21686	1566
Kołobrzeg	kołobrzeski	zachodniopomorskie	2567	46259	1802
Koniecpol	częstochowski	śląskie	3692	5902	160
Konin	Konin[a]	wielkopolskie	8231	73522	893
Konstancin-Jeziorna	piaseczyński	mazowieckie	1774	17040	961
Konstantynów Łódzki	pabianicki	łódzkie	2725	18206	668
Końskie	konecki	świętokrzyskie	1770	19080	1078
Koprzywnica	sandomierski	świętokrzyskie	1790	2461	137
Korfantów	nyski	opolskie	1023	1793	175
Koronowo	bydgoski	kujawsko-pomorskie	2815	11089	394
Korsze	kętrzyński	warmińsko-mazurskie	403	4193	1040
Kosów Lacki	sokołowski	mazowieckie	1157	2087	180
Kostrzyn	poznański	wielkopolskie	798	9684	1214
Kostrzyn nad Odrą	gorzowski	lubuskie	4614	17730	384
Koszalin	Koszalin[a]	zachodniopomorskie	9834	107048	1089
Koszyce	proszowicki	małopolskie	325	778	239
Kościan	kościański	wielkopolskie	901	23876	2650
Kościerzyna	kościerski	pomorskie	1586	23742	1497
Kowal	włocławski	kujawsko-pomorskie	468	3505	749
Kowalewo Pomorskie	golubsko-dobrzyński	kujawsko-pomorskie	445	4143	931
Kowary	jeleniogórski	dolnośląskie	3739	10813	289
Koziegłowy	myszkowski	śląskie	2671	2445	92
Kozienice	kozienicki	mazowieckie	1045	17072	1634
Koźmin Wielkopolski	krotoszyński	wielkopolskie	589	6472	1099
Koźminek	kaliski	wielkopolskie	604	1978	327
Kożuchów	nowosolski	lubuskie	594	9356	1575
Kórnik	poznański	wielkopolskie	599	7953	1328
Krajenka	złotowski	wielkopolskie	376	3643	969
Kraków	Kraków[a]	małopolskie	32685	779115	2384
Krapkowice	krapkowicki	opolskie	2101	16222	772
Krasnobród	zamojski	lubelskie	699	3101	444
Krasnystaw	krasnostawski	lubelskie	4213	18630	442
Kraśnik	kraśnicki	lubelskie	2610	34230	1311
Krobia	gostyński	wielkopolskie	705	4320	613
Krosno	Krosno[a]	podkarpackie	4350	46291	1064
Krosno Odrzańskie	krośnieński	lubuskie	815	11238	1379
Krośniewice	kutnowski	łódzkie	418	4322	1034
Krotoszyn	krotoszyński	wielkopolskie	2254	28804	1278
Kruszwica	inowrocławski	kujawsko-pomorskie	664	8819	1328
Krynica Morska	nowodworski	pomorskie	11856	1286	11
Krynica-Zdrój	nowosądecki	małopolskie	3968	10568	266
Krynki	sokólski	podlaskie	383	2372	619
Krzanowice	raciborski	śląskie	308	2166	703
Krzepice	kłobucki	śląskie	2766	4421	160
Krzeszowice	krakowski	małopolskie	1697	9975	588
Krzywiń	kościański	wielkopolskie	227	1717	756
Krzyż Wielkopolski	czarnkowsko-trzcianecki	wielkopolskie	581	6176	1063
Książ Wielkopolski	śremski	wielkopolskie	196	2715	1385
Kudowa-Zdrój	kłodzki	dolnośląskie	3390	9886	292
Kunów	ostrowiecki	świętokrzyskie	726	2936	404
Kutno	kutnowski	łódzkie	3359	43911	1307
Kuźnia Raciborska	raciborski	śląskie	3149	5305	168
Kwidzyn	kwidzyński	pomorskie	2154	38418	1784
