Miejscowość             Długość        Szerokość
Piaski (leszczyńskie)   17°04'E        51°53'N
Piaski (lubelskie)      22°51'E        51°08'N
Piastów                 20°51'E        52°11'N
Piątek                  19°28'E        52°04'N
Piątnica                22°05'E        53°11'N
Piechowice              15°35'E        50°51'N
Piecki                  21°20'E        53°45'N
Piekary Śląskie         18°57'E        50°23'N
Piekoszów               20°27'E        50°53'N
Pielgrzymka             15°49'E        51°07'N
Pieniężno               20°08'E        54°14'N
Pieńsk                  15°02'E        51°15'N
Pierzchnica             20°44'E        50°42'N
Pieszyce                16°35'E        50°43'N
Pietrowice Wielkie      19°05'E        50°05'N
Pilawa                  21°32'E        51°57'N
Pilchowice              18°34'E        50°13'N
Pilica                  19°39'E        50°29'N
Pilzno                  21°17'E        49°59'N
Piła                    16°45'E        53°10'N
Piława Górna            16°44'E        50°41'N
Pińczów                 20°32'E        50°32'N
Pińsk                   26°04'E        52°07'N
Pionki                  21°27'E        51°29'N
Piotrków Trybunalski    19°41'E        51°24'N
Piotrków Kujawski       18°30'E        52°33'N
Pisz                    21°48'E        53°38'N
Piszczac                23°23'E        51°59'N
Piwniczna               20°42'E        49°26'N
Platerów                22°49'E        52°18'N
Platerówka              15°11'E        51°04'N
Pleszew                 17°47'E        51°53'N
Pleśna                  20°56'E        49°56'N
Płaska                  23°16'E        53°54'N
Płock                   19°42'E        52°33'N
Płoniawy-Bramura        21°04'E        52°59'N
Płońsk                  20°23'E        52°38'N
Płoskinia               19°56'E        54°16'N
Płośnica                20°01'E        53°16'N
Płoty                   15°16'E        53°48'N
Płużnica                18°47'E        53°18'N
Pniewy (poznańskie)     16°16'E        52°31'N
Pniewy (radomskie)      20°44'E        51°55'N
Pobiedziska             17°17'E        52°28'N
Poczesna                19°09'E        50°43'N
Poddębice               18°57'E        51°53'N
Podedwórze              23°13'E        51°41'N
Podegrodzie             20°36'E        49°35'N
Podgórzyn               15°41'E        50°50'N
Podkowa Leśna           20°43'E        52°07'N
Pogorzela               17°14'E        51°48'N
Pokój                   17°30'E        50°54'N
Pokrzywnica             21°01'E        52°38'N
Polanica-Zdrój          16°31'E        50°24'N
Polanów                 16°41'E        54°07'N
Police                  14°33'E        53°33'N
Policzna                21°38'E        51°27'N
Polkowice               16°04'E        51°36'N
Polska Cerekiew         18°09'E        50°14'N
Połajewo                16°43'E        52°47'N
Połaniec                21°17'E        50°26'N
Połczyn-Zdrój           16°06'E        53°45'N
Pomiechówek             20°44'E        52°28'N
Poniatowa               22°05'E        51°12'N
Poniec                  16°48'E        51°46'N
Popielów                17°44'E        50°49'N
Popów                   18°57'E        51°02'N
Poraj                   19°13'E        50°41'N
Porąbka                 19°13'E        49°49'N
Postomino               16°42'E        54°30'N
Poświętne (białostockie)22°50'E        52°55'N
Poświętne (piotrkowskie)20°22'E        51°32'N
Poświętne (siedleckie)  21°25'E        52°20'N
Potęgowo                17°29'E        54°29'N
Potok Górny             22°32'E        50°23'N
Potok Wielki            22°14'E        50°47'N
Potworów                20°43'E        51°31'N
Pozezdrze               21°52'E        54°08'N
Poznań                  16°55'E        52°25'N
Poznań Grunwald         16°54'E        52°23'N
Poznań Jeżyce           16°47'E        52°27'N
Poznań Nowe Miasto      17°01'E        52°23'N
Poznań Stare Miasto     16°56'E        52°25'N
Poznań Wilda            16°56'E        52°23'N
Prabuty                 19°12'E        53°46'N
Praszka                 18°27'E        51°03'N
Prażmów                 20°59'E        51°57'N
Prochowice              16°23'E        51°17'N
Promna                  20°58'E        51°41'N
Prostki                 22°26'E        53°42'N
Proszowice              20°17'E        50°12'N
Prószków                17°53'E        50°35'N
Pruchnik                22°32'E        49°54'N
Prudnik                 17°36'E        50°19'N
Prusice                 16°52'E        51°22'N
Pruszcz                 18°12'E        53°20'N
Pruszcz Gdański         18°38'E        54°16'N
Pruszków                20°48'E        52°10'N
Przasnysz               20°53'E        53°01'N
Przechlewo              17°15'E        53°48'N
Przeciszów              20°22'E        50°00'N
Przecław                21°29'E        50°12'N
Przedbórz               19°52'E        51°06'N
Przedecz                18°54'E        52°20'N
Przelewice              15°05'E        53°06'N
Przemęt                 16°18'E        52°01'N
Przemków                15°47'E        51°32'N
Przemyśl                22°47'E        49°48'N
Przerośl                22°39'E        54°15'N
Przesmyki               22°35'E        52°17'N
Przeworno               17°11'E        50°41'N
Przeworsk               22°29'E        50°03'N
Przewóz                 14°58'E        51°28'N
Przodkowo               18°17'E        54°23'N
Przybiernów             14°46'E        53°45'N
Przygodzice             17°50'E        51°35'N
Przykona                18°37'E        51°58'N
Przyłęk                 21°45'E        51°19'N
Przyrów                 19°31'E        50°48'N
Przystajń               18°41'E        50°53'N
Przysucha               20°38'E        51°22'N
Przytoczna              15°40'E        52°35'N
Przytuły                22°19'E        53°22'N
Przytyk                 20°55'E        51°28'N
Przywidz                18°19'E        54°12'N
Psary                   19°08'E        50°23'N
Pszczew                 15°46'E        52°28'N
Pszczółki               18°41'E        54°11'N
Pszczyna                18°57'E        49°59'N
Puchaczów               22°59'E        51°18'N
Puck                    18°24'E        54°44'N
Puławy                  21°58'E        51°25'N
Pułtusk                 21°05'E        52°43'N
Puńsk                   23°11'E        54°15'N
Purda                   20°42'E        53°43'N
Puszcza Mariańska       20°21'E        51°59'N
Puszczykowo             16°50'E        52°17'N
Pyrzyce                 14°53'E        53°08'N
Pyskowice               18°38'E        50°24'N
Pysznica                22°08'E        50°34'N
Pyzdry                  17°41'E        52°10'N
Raba Wyżna              19°53'E        49°34'N
Rabka                   19°57'E        49°37'N
Rachanie                23°33'E        50°33'N
Raciąż                  20°07'E        52°47'N
Raciążek                18°48'E        52°51'N
Racibórz                18°14'E        50°05'N
Raciechowice            20°08'E        49°50'N
Racławice-Pałecznica    20°14'E        50°20'N
Raczki                  22°47'E        53°59'N
Radecznica              22°50'E        50°46'N
Radgoszcz               21°07'E        50°13'N
Radków (częstochowskie) 19°59'E        50°43'N
Radków (wałbrzyskie)    16°24'E        50°30'N
Radłów (częstochowskie) 18°32'E        50°56'N
Radłów (tarnowskie)     20°51'E        50°05'N
Radom                   21°10'E        51°24'N
Radomin                 19°12'E        53°05'N
Radomsko                19°27'E        51°04'N
Radomyśl                21°57'E        50°41'N
Radomyśl Wielki         21°17'E        50°12'N
Radoszyce               20°16'E        51°04'N
Radowo Małe             15°27'E        53°40'N
Radymno                 22°50'E        49°57'N
Radwanice               15°52'E        51°34'N
Radzanowo               19°53'E        52°35'N
Radzanów                20°05'E        52°57'N
Radziechowy-Wieprz      19°10'E        49°38'N
Radziejowice            20°33'E        52°01'N
Radziejów               18°31'E        52°38'N
Radziemnice             20°14'E        50°15'N
Radziłów                22°25'E        53°25'N
Radziwiłłówka           23°02'E        52°22'N
Radzymin                21°11'E        52°25'N
Radzyń Chełmiński       18°56'E        53°23'N
Radzyń Podlaski         22°38'E        51°48'N
Rajcza                  19°06'E        49°30'N
Rajgród                 22°42'E        53°44'N
Rakoniewice             16°16'E        52°09'N
Raków                   21°02'E        50°41'N
Rakszawa                22°14'E        50°12'N
Raniżów                 21°59'E        50°16'N
Raszków                 17°44'E        51°43'N
Raszyn                  20°55'E        52°08'N
Rataje                  19°26'E        52°26'N
Rawa Mazowiecka         20°16'E        51°46'N
Rawa Ruska              23°37'E        50°14'N
Rawicz                  16°52'E        51°36'N
Rąbino                  15°56'E        53°52'N
Recz                    15°33'E        53°15'N
Reda                    18°20'E        54°37'N
Regimin                 20°34'E        52°57'N
Rejowiec                23°18'E        51°06'N
Rejowiec Fabryczny      23°16'E        51°07'N
Reńska Wieś             18°09'E        50°19'N
Repki                   22°24'E        52°23'N
Resko                   15°24'E        53°46'N
Reszel                  21°09'E        54°03'N
Rewal                   15°00'E        54°04'N
Ręczno                  19°51'E        51°11'N
Rędziny                 19°13'E        50°52'N
Rogowo (bydgoskie)      17°39'E        52°43'N
Rogowo (włocławskie)    19°23'E        52°58'N
Rogoźno                 16°59'E        52°45'N
Rogów                   19°53'E        51°49'N
Rogóźno                 18°56'E        53°33'N
Rohatyń                 24°37'E        49°25'N
Rojewo                  18°17'E        52°54'N
Rokiciny                19°47'E        51°40'N
Rokietnica (poznańskie) 16°45'E        52°31'N
Rokietnica (przemyskie) 22°39'E        49°54'N
Rokitno                 23°18'E        52°08'N
Ropczyce                21°37'E        50°03'N
Rossosz                 23°09'E        51°52'N
Rościszewo              19°46'E        52°54'N
Rozdrażew               17°31'E        51°46'N
Rozogi                  21°22'E        53°29'N
Rozprza                 19°38'E        51°18'N
Roźwienica              22°36'E        49°57'N
Równe                   26°15'E        50°37'N
Różan                   21°24'E        52°53'N
Ruciane-Nida            21°34'E        53°39'N
Ruda-Huta               23°36'E        51°14'N
Ruda Maleniecka         20°13'E        51°19'N
Ruda Śląska             18°52'E        50°16'N
Rudna                   16°16'E        51°31'N
Rudnik (katowickie)     18°12'E        50°08'N
Rudnik (tarnobrzeskie)  22°16'E        50°27'N
Rudnik (zamojskie)      22°59'E        50°53'N
Rudniki                 18°36'E        51°02'N
Rudziniec               18°25'E        50°22'N
Ruja                    16°24'E        51°11'N
Rumia                   18°24'E        54°34'N
Rusiec                  18°59'E        51°19'N
Rusinów                 20°35'E        51°26'N
Rutka-Tartak            22°58'E        54°19'N
Rutki                   22°26'E        53°06'N
Rybczewice              22°51'E        51°02'N
Rybnik                  18°33'E        50°05'N
Rybno                   19°56'E        53°23'N
Rychliki                19°31'E        53°59'N
Rychtal                 17°51'E        51°09'N
Rychwał                 18°10'E        52°04'N
Ryczywół                16°50'E        52°48'N
Rydzyna                 16°40'E        51°48'N
Ryglice                 21°08'E        49°53'N
Ryjewo                  18°57'E        53°51'N
Ryki                    21°57'E        51°37'N
Rymanów                 21°53'E        49°34'N
Rymań                   15°32'E        53°56'N
Ryn                     21°32'E        53°56'N
Rypin                   19°24'E        53°04'N
Rytwiany                21°12'E        50°32'N
Rząśnia                 19°03'E        51°14'N
Rząśnik                 21°21'E        52°43'N
Rzeczenica              17°06'E        53°46'N
Rzeczniów               21°27'E        51°08'N
Rzeczyca                20°18'E        51°36'N
Rzekuń                  21°38'E        53°03'N
Rzepiennik Strzyżewski  21°02'E        49°48'N
Rzepin                  14°49'E        52°21'N
Rzeszów                 22°01'E        50°03'N
Rzewnie                 21°21'E        52°51'N
Rzezawa                 20°31'E        50°00'N
Rzgów (konińskie)       18°03'E        52°09'N
Rzgów (łódzkie)         19°30'E        51°40'N
Sabnie                  22°18'E        52°30'N
Sadki                   17°27'E        53°10'N
Sadkowice               20°31'E        51°44'N
Sadlinki                18°53'E        53°40'N
Sadowie                 21°23'E        50°51'N
Sadowne                 21°51'E        52°38'N
Sambor                  23°11'E        49°32'N
Samborzec               21°39'E        50°39'N
Sandomierz              21°45'E        50°41'N
Sanniki                 19°52'E        52°20'N
Sanok                   22°13'E        49°33'N
Santok                  15°24'E        52°44'N
Sarnaki                 22°53'E        52°19'N
Sarny                   26°36'E        51°21'N
Sawin                   23°27'E        51°16'N
Secemin                 19°50'E        50°46'N
Sejny                   23°21'E        54°06'N
Serniki                 22°40'E        51°26'N
Serock                  21°04'E        52°31'N
Serokomla               22°19'E        51°42'N
Sędziejowice            19°02'E        51°31'N
Sędziszów               20°04'E        50°35'N
Sędziszów Małopolski    21°42'E        50°04'N
Sękowa                  21°12'E        49°37'N
Sępopol                 21°01'E        54°16'N
Sępólno Krajeńskie      17°32'E        53°27'N
Sianów                  16°18'E        54°13'N
Sicienko                17°47'E        53°13'N
Sidra                   23°27'E        53°33'N
Sieciechów              21°45'E        51°33'N
Siedlce                 22°17'E        52°11'N
Siedlec                 16°00'E        52°03'N
Siedlisko               15°48'E        51°46'N
Siedliszcze             23°10'E        51°12'N
Siekierczyn             15°12'E        51°08'N
Siemianowice Śląskie    19°02'E        50°18'N
Siemiatycze             22°52'E        52°26'N
Siemiątkowo Koziebródz. 20°01'E        52°53'N
Siemień                 22°36'E        51°38'N
Siemkowice              18°54'E        51°12'N
Siemyśl                 15°32'E        54°02'N
Sieniawa                22°37'E        50°11'N
Siennica                21°37'E        52°06'N
Siennica Różana         23°20'E        51°00'N
Sienno                  21°29'E        51°06'N
Siepraw                 19°58'E        49°55'N
Sieradz                 18°44'E        51°36'N
Sierakowice             17°53'E        54°22'N
Sieraków                16°05'E        52°39'N
Sieroszewice            17°59'E        51°38'N
Sierpc                  19°40'E        52°52'N
Siewierz                19°14'E        50°28'N
Silnowo                 16°29'E        53°37'N
Sitkówka-Nowiny         20°34'E        50°49'N
Sitno                   23°23'E        50°45'N
Skalbmierz              20°24'E        50°20'N
Skała                   19°51'E        50°14'N
Skarszewy               18°27'E        54°05'N
Skaryszew               21°15'E        51°19'N
Skarżysko-Kamienna      20°51'E        51°07'N
Skawina                 19°49'E        49°59'N
Skąpe                   15°27'E        52°09'N
Skępe                   19°21'E        52°52'N
Skierbieszów            23°22'E        50°51'N
Skierniewice            20°08'E        51°58'N
Skoczów                 18°43'E        49°48'N
Skoki                   17°09'E        52°40'N
Skołyszyn               21°21'E        49°45'N
Skomlin                 18°23'E        51°10'N
Skoroszyce              17°22'E        50°35'N
Skórcz                  18°32'E        53°48'N
Skórzec                 22°08'E        52°07'N
Skrwilno                19°37'E        53°01'N
Skrzeszew               20°53'E        52°28'N
Skrzyszów               21°06'E        49°59'N
Skulsk                  18°20'E        52°29'N
Skwierzyna              15°29'E        52°36'N
Słaboszów               20°17'E        50°23'N
Sława                   16°04'E        51°53'N
Sławatycze              23°34'E        51°46'N
Sławków                 19°20'E        50°17'N
Sławno (piotrkowskie)   20°09'E        51°23'N
Sławno (słupskie)       16°39'E        54°22'N
Sławoborze              15°42'E        53°53'N
Słomniki                20°05'E        50°15'N
Słonim                  25°19'E        53°06'N
Słońsk                  14°48'E        52°34'N
Słubice (gorzowskie)    14°34'E        52°21'N
Słubice (płockie)       19°56'E        52°23'N
Słupca                  17°53'E        52°17'N
Słupia (kieleckie)      19°58'E        50°36'N
Słupia (skierniewickie) 19°58'E        51°51'N
Słupsk                  17°02'E        54°28'N
Smętowo Graniczne       18°41'E        53°46'N
Smołdzino               17°13'E        54°40'N
Sobienie-Jeziory        21°19'E        51°56'N
Sobków                  20°27'E        50°42'N
Sobolew                 21°41'E        51°44'N
Sobótka                 16°45'E        50°54'N
Sochaczew               20°13'E        52°14'N
Sochocin                20°28'E        52°42'N
Sokolniki               18°21'E        51°18'N
Sokołów Małopolski      22°07'E        50°14'N
Sokołów Podlaski        22°16'E        52°24'N
Sokoły                  22°42'E        52°59'N
Sokółka                 23°30'E        53°24'N
Solec Kujawski          18°14'E        53°05'N
Solec nad Wisłą         21°47'E        51°08'N
Solec-Zdrój             20°53'E        50°22'N
Solina                  22°27'E        49°24'N
Somianka                21°17'E        52°33'N
Somonino                18°12'E        54°17'N
Sompolno                18°30'E        52°23'N
Sońsk                   20°43'E        52°47'N
Sopot                   18°33'E        54°26'N
Sorkwity                21°09'E        53°51'N
Sosnowica               23°05'E        51°31'N
Sosnowiec               19°08'E        50°17'N
Sosnówka                23°20'E        51°46'N
Sośnicowice             18°32'E        50°16'N
Sośnie                  17°37'E        51°28'N
Sośno                   17°41'E        53°24'N
Spiczyn                 22°46'E        51°21'N
Spytkowice              19°30'E        50°00'N
Srokowo                 21°31'E        54°13'N
Stalowa Wola            22°05'E        50°34'N
Stanin                  22°12'E        51°53'N
Stanisławów (siedleckie)21°33'E        52°18'N
Stanisławów             24°43'E        48°55'N
Stara Biała             19°38'E        52°37'N
Stara Błotnica          20°59'E        51°33'N
Stara Dąbrowa           15°08'E        53°25'N
Stara Kamienica         15°34'E        50°55'N
Stara Kiszewa           18°10'E        53°59'N
Stara Kornica           22°57'E        52°11'N
Starachowice            21°04'E        51°02'N
Stare Babice            20°51'E        52°15'N
Stare Bogaczowice       16°11'E        50°52'N
Stare Czarnowo          14°46'E        53°17'N
Stare Juchy             22°11'E        53°56'N
Stare Kurowo            15°40'E        52°52'N
Stare Miasto            18°13'E        52°11'N
Stare Pole              19°12'E        54°03'N
Stargard Szczeciński    15°02'E        53°20'N
Starogard Gdański       18°32'E        53°58'N
Staroźreby              19°58'E        52°38'N
Stary Brus              23°18'E        51°29'N
Stary Dzierzgoń         19°25'E        53°51'N
Stary Dzikowiec         21°51'E        50°16'N
Staru Dzików            22°56'E        50°14'N
Stary Lubotyń           21°56'E        52°57'N
Stary Sącz              20°38'E        49°34'N
Stary Targ              19°10'E        53°56'N
Stary Zamość            23°11'E        50°49'N
Staszów                 21°10'E        50°34'N
Stawiguda               20°24'E        53°39'N
Stawiski                22°10'E        53°23'N
Stawiszyn               18°06'E        51°55'N
Stąporków               20°33'E        51°09'N
Stegna                  19°06'E        54°20'N
Stepnica                14°37'E        53°39'N
Sterdyń                 22°17'E        52°34'N
Stęszew                 16°41'E        52°17'N
Stężyca                 17°57'E        54°13'N
Stoczek                 21°54'E        52°33'N
Stoczek Łukowski        21°58'E        51°58'N
Stolno                  18°30'E        53°19'N
Stopnica                20°56'E        50°26'N
Stoszowice              16°38'E        50°36'N
Strachówka              21°38'E        52°25'N
Strawczyn               20°25'E        50°57'N
Stromiec                21°06'E        51°39'N
Stronie Śląskie         16°52'E        50°18'N
Strumień                18°46'E        49°55'N
Stryj                   23°51'E        49°16'N
Stryków                 19°35'E        51°54'N
Stryszawa               19°32'E        49°43'N
Stryszów                19°37'E        49°50'N
Strzałkowo              17°49'E        52°19'N
Strzegom                16°21'E        50°58'N
Strzegowo-Osada         20°17'E        52°54'N
Strzelce                19°24'E        52°19'N
Strzelce Krajeńskie     15°31'E        52°53'N
Strzelce Opolskie       18°18'E        50°31'N
Strzelce Wielkie        19°08'E        51°08'N
Strzeleczki             17°51'E        50°28'N
Strzelin                17°04'E        50°47'N
Strzelno                18°10'E        52°38'N
Strzyżewice             22°27'E        51°03'N
Strzyżów                21°47'E        49°52'N
Stubno                  22°58'E        49°53'N
Studzienice             17°35'E        54°06'N
Stupsk                  20°27'E        53°01'N
Subkowy                 18°46'E        54°01'N
Sucha Beskidzka         19°29'E        49°44'N
Suchań                  15°19'E        53°17'N
Suchedniów              20°50'E        51°03'N
Suchowola               23°06'E        53°35'N
Suchożebry              22°16'E        52°16'N
Suchy Las               16°53'E        52°28'N
Sulechów                15°37'E        52°05'N
Sulejów                 19°52'E        51°22'N
Sulejówek               21°16'E        52°13'N
Sulęcin                 15°07'E        52°27'N
Sulęczyno               17°46'E        54°14'N
Sulików                 15°04'E        51°04'N
Sulmierzyce             19°12'E        51°11'N
Sułkowice               19°48'E        49°52'N
Sułoszowa               19°44'E        50°17'N
Sułów                   22°58'E        50°46'N
Supraśl                 23°20'E        53°13'N
Suraż                   22°57'E        52°57'N
Susiec                  23°12'E        50°25'N
Susz                    19°21'E        53°43'N
Suszec                  18°48'E        50°02'N
Suwałki                 22°56'E        54°06'N
Swarzędz                17°04'E        52°24'N
Syców                   17°43'E        51°18'N
Sypniewo                21°18'E        53°01'N
Szadek                  18°59'E        51°42'N
Szamocin                17°07'E        53°02'N
Szamotuły               16°34'E        52°36'N
Szastarka               22°19'E        50°52'N
Szczaniec               15°41'E        52°16'N
Szczawin Kościelny      19°37'E        52°23'N
Szczawnica              20°28'E        49°26'N
Szczawno-Zdrój          16°16'E        50°49'N
Szczebrzeszyn           22°59'E        50°42'N
Szczecin                14°34'E        53°26'N
Szczecinek              16°41'E        53°43'N
Szczekociny             19°48'E        50°38'N
Szczerców               19°07'E        51°20'N
Szczucin                21°04'E        50°19'N
Szczuczyn               22°18'E        53°34'N
Szczurowa               50°08'E        20°38'N
Szczutowo               19°34'E        52°56'N
Szczyrk                 19°02'E        49°43'N
Szczytna                16°26'E        50°25'N
Szczytniki              18°20'E        51°41'N
Szczytno                20°59'E        53°34'N
Szelków                 21°13'E        52°50'N
Szemud                  18°14'E        54°29'N
Szepietowo              22°33'E        52°52'N
Szerzyny                21°14'E        49°49'N
Szklarska Poręba        15°32'E        50°50'N
Szlichtyngowa           16°15'E        51°43'N
Szprotawa               15°32'E        51°34'N
Szreńsk                 20°07'E        53°01'N
Sztabin                 23°07'E        53°41'N
Sztum                   19°02'E        53°56'N
Sztutowo                19°10'E        54°20'N
Szubin                  17°45'E        53°01'N
Szudziałowo             23°40'E        53°17'N
Szumowo                 22°06'E        52°56'N
Szydłowiec              20°51'E        51°14'N
Szydłowo                16°36'E        53°10'N
Szydłów                 21°00'E        50°36'N
Szypliszki              23°04'E        54°15'N
Ścinawa                 16°26'E        51°25'N
Ślesin                  18°18'E        52°22'N
Śliwice                 18°10'E        53°43'N
Śmigiel                 16°32'E        52°01'N
Śniadowo                21°59'E        53°02'N
Śrem                    17°01'E        52°05'N
Środa Śląska            16°35'E        51°09'N
Środa Wielkopolska      17°16'E        52°14'N
Świątki                 20°15'E        53°55'N
Świątniki Górne         19°58'E        49°56'N
Świdnica (wałbrzyskie)  16°29'E        50°50'N
Świdnica (zielonogór.)  15°25'E        51°53'N
Świdnik                 22°41'E        51°12'N
Świdwin                 15°47'E        53°47'N
Świebodzice             16°20'E        50°52'N
Świebodzin              15°32'E        52°15'N
Świecie                 18°26'E        53°25'N
Świecie nad Osą         19°06'E        53°27'N
Świedziebnia            19°33'E        53°09'N
Świeradów-Zdrój         15°21'E        50°54'N
Świercze                20°46'E        52°41'N
Świerczów               17°46'E        50°58'N
Świerklaniec            18°56'E        50°26'N
Świerklany              18°36'E        50°02'N
Świerzawa               15°54'E        51°01'N
Świerzno                14°57'E        53°57'N
Świeszyno               16°10'E        54°07'N
Święciechowa            16°31'E        51°52'N
Święta Katarzyna        17°07'E        51°02'N
Świętajno (olsztyńskie) 21°13'E        53°34'N
Świętajno (suwalskie)   22°20'E        54°00'N
Świętochłowice          18°55'E        50°19'N
Świlcza                 21°55'E        50°05'N
Świnice Warckie         18°56'E        52°02'N
Świnna                  19°15'E        49°40'N
Świnoujście             14°15'E        53°55'N
Tarczyn                 20°50'E        51°59'N
Tarłów                  21°43'E        51°00'N
Tarnawatka              23°24'E        50°32'N
Tarnobrzeg              21°41'E        50°35'N
Tarnogród               22°45'E        50°21'N
Tarnopol                25°36'E        49°34'N
Tarnowiec               21°36'E        49°43'N
Tarnowo Podgórne        16°40'E        52°28'N
Tarnowskie Góry         18°52'E        50°27'N
Tarnów                  21°00'E        50°02'N
Tarnów Opolski          18°05'E        50°35'N
Tarnówka                16°50'E        53°21'N
Tatrzańska              19°57'E        49°18'N
Tąpkowice               19°02'E        50°27'N
Tczew                   18°43'E        54°06'N
Tczów                   21°27'E        51°20'N
Telatyn                 23°50'E        50°32'N
Teresin                 20°25'E        52°12'N
Terespol                23°37'E        52°05'N
Tereszpol               22°53'E        50°34'N
Tłuchowo                19°28'E        52°45'N
Tłuszcz                 21°27'E        52°26'N
Tokarnia                19°53'E        49°44'N
Tolkmicko               19°31'E        54°19'N
Tomaszów Lubelski       23°25'E        50°27'N
Tomaszów Mazowiecki     20°02'E        51°32'N
Tomice                  19°29'E        49°54'N
Topólka                 18°43'E        52°31'N
Toruń                   18°37'E        53°02'N
Torzym                  15°04'E        52°19'N
Toszek                  18°31'E        50°28'N
Trawniki                23°01'E        51°08'N
Trąbki Wielkie          18°32'E        54°10'N
Trojanów                21°50'E        51°42'N
Troszyn                 21°44'E        53°02'N
Tryńcza                 22°33'E        50°10'N
Trzcianka               16°28'E        53°03'N
Trzcianne               22°41'E        53°21'N
Trzciel                 15°52'E        52°22'N
Trzcinica               18°01'E        51°10'N
Trzcińsko-Zdrój         14°35'E        52°58'N
Trzebiatów              15°15'E        54°04'N
Trzebiechów             15°44'E        52°02'N
Trzebiel                14°49'E        51°38'N
Trzebielino             17°06'E        54°12'N
Trzebieszów             22°33'E        51°59'N
Trzebinia               19°28'E        50°10'N
Trzebnica               17°04'E        51°18'N
Trzebownisko            22°02'E        50°05'N
Trzemeszno              17°49'E        52°34'N
Trzeszczany             23°44'E        50°49'N
Trzyciąż                19°46'E        50°19'N
Trzydnik Duży           22°09'E        50°51'N
Tuchola                 17°51'E        53°36'N
Tuchomie                17°20'E        54°07'N
Tuchów                  21°03'E        49°54'N
Tuczępy                 20°59'E        50°31'N
Tuczna                  23°26'E        51°53'N
Tuczno                  16°08'E        53°11'N
Tuliszków               18°18'E        52°04'N
Tułowice                20°17'E        52°22'N
Tuplice                 14°49'E        51°40'N
Turawa                  18°05'E        50°44'N
Turek                   18°30'E        52°01'N
Turobin                 22°45'E        50°49'N
Turośl                  21°44'E        53°23'N
Turośń Kościelna        23°03'E        53°01'N
Tuszów Narodowy         21°28'E        50°22'N
Tuszyn                  19°32'E        51°36'N
Twardogóra              17°28'E        51°22'N
Tworóg                  18°43'E        50°33'N
Tychowo                 16°15'E        53°55'N
Tychy                   18°59'E        50°08'N
Tychy Paprocany         19°00'E        50°06'N
Tyczyn                  22°02'E        49°58'N
Tykocin                 22°46'E        53°12'N
Tymbark                 20°19'E        49°44'N
Tyrawa Wołoska          22°22'E        49°34'N
Tyszowice               23°41'E        50°37'N
Uchanie                 23°39'E        50°55'N
Udanin                  16°27'E        51°02'N
Ujazd (opolskie)        18°21'E        50°24'N
Ujazd (piotrkowskie)    19°55'E        51°36'N
Ujsoły                  19°09'E        49°29'N
Ujście                  16°44'E        53°04'N
Ulan-Majorat            22°29'E        51°48'N
Ulanów                  22°17'E        50°30'N
Ulhówek                 23°48'E        50°27'N
Ułęż                    22°07'E        51°36'N
Uniejów                 18°48'E        51°58'N
Unisław                 18°23'E        53°13'N
Urszulin                23°12'E        51°24'N
Urzędów                 22°09'E        51°00'N
Ustka                   16°51'E        54°35'N
Ustronie Morskie        15°45'E        54°13'N
Ustroń                  18°49'E        49°43'N
Ustrzyki Dolne          22°36'E        49°26'N
Uście Gorlickie         21°08'E        49°31'N
Uścimów                 22°56'E        51°28'N
Wadowice                19°30'E        49°53'N
Wadowice Górne          21°18'E        50°16'N
Walce                   18°00'E        50°22'N
Walim                   16°27'E        50°42'N
Wałbrzych               16°17'E        50°47'N
Wałcz                   16°27'E        53°16'N
Wapno                   17°28'E        52°54'N
Warka                   21°12'E        51°47'N
Warlubie                18°38'E        53°35'N
Warnice                 14°59'E        53°15'N
Warszawa                21°02'E        52°12'N
Warszawa Mokotów        21°03'E        52°09'N
Warszawa Ochota         20°59'E        52°12'N
Warszawa Praga Południe 21°10'E        52°12'N
Warszawa Praga Północ   21°03'E        52°17'N
Warszawa Śródmieście    21°01'E        52°13'N
Warszawa Wola           20°56'E        52°14'N
Warszawa Żoliborz       20°56'E        52°16'N
Warta                   18°38'E        51°42'N
Warta Bolesławiecka     15°39'E        51°14'N
Wartkowice              19°01'E        51°58'N
Wasilków                23°12'E        53°12'N
Waśniów                 20°13'E        50°54'N
Wąbrzeźno               18°57'E        53°17'N
Wąchock                 21°01'E        51°05'N
Wądroże Wielkie         16°20'E        51°07'N
Wągrowiec               17°12'E        52°48'N
Wąpielsk                19°17'E        53°08'N
Wąsewo                  21°41'E        52°53'N
Wąsosz                  16°41'E        51°34'N
Wąwolnica               22°09'E        51°17'N
Wejherowo               18°15'E        54°36'N
Werbkowice              23°46'E        50°45'N
Węgierska Górka         19°07'E        49°37'N
Węgliniec               15°13'E        51°17'N
Węgorzewo               21°45'E        54°13'N
Węgorzyno               15°33'E        53°32'N
Węgrów                  22°01'E        52°24'N
Wiązowna                21°18'E        52°11'N
Wiązownica              22°42'E        50°05'N
Wiązów                  17°17'E        50°49'N
Wicko                   17°37'E        54°40'N
Widawa                  18°57'E        51°26'N
Widuchowa               14°22'E        53°07'N
Wieczfnia Kościelna     20°29'E        53°12'N
Wielbark                20°56'E        53°24'N
Wieleń                  16°10'E        52°54'N
Wielgie                 19°16'E        52°45'N
Wielgomłyny             19°46'E        51°01'N
Wielichowo              16°21'E        52°07'N
Wieliczka               20°03'E        49°59'N
