Miejscowość             Długość        Szerokość
Dębowa Łąka             19°06'E        53°15'N
Dębowiec (krośnieńskie) 21°28'E        49°41'N
Dębowiec (bielskie)     18°43'E        49°48'N
Długołęka               17°12'E        51°10'N
Długosiodło             21°36'E        52°46'N
Dłutów                  19°24'E        51°33'N
Dmosin                  19°45'E        51°55'N
Dobczyce                20°06'E        49°53'N
Dobiegniew              15°45'E        52°58'N
Dobra (konińskie)       18°37'E        51°55'N
Dobra (nowosądeckie)    20°15'E        49°43'N
Dobra (szczecińskie)    14°23'E        53°29'N
Dobra (szczecińskie)    15°18'E        53°34'N
Dobrcz                  18°09'E        53°16'N
Dobre (siedleckie)      21°41'E        52°19'N
Dobre (włocławskie)     18°33'E        52°41'N
Dobre Miasto            20°24'E        53°59'N
Dobrodzień              18°27'E        50°44'N
Dobromierz              16°15'E        50°55'N
Dobromil                22°47'E        49°34'N
Dobroszyce              17°21'E        51°16'N
Dobryszyce              19°25'E        51°09'N
Dobrzany                15°25'E        53°21'N
Dobrzelin               19°37'E        52°14'N
Dobrzeń Wielki          17°51'E        50°46'N
Dobrzyca                17°37'E        51°52'N
Dobrzyniewo Kościelne   23°03'E        53°12'N
Dobrzyń nad Wisłą       19°20'E        52°39'N
Dolice                  15°12'E        53°11'N
Dolsk                   17°04'E        51°59'N
Dołhobyczów             24°02'E        50°35'N
Domaniewice             19°48'E        52°01'N
Domaniów                17°08'E        50°59'N
Domaradz                21°59'E        49°48'N
Domaszowice             17°53'E        51°03'N
Dominowo                17°22'E        52°18'N
Dopiewo                 16°40'E        52°21'N
Dorohusk                23°49'E        51°09'N
Doruchów                18°05'E        51°25'N
Dragacz                 18°44'E        53°30'N
Drawno                  15°45'E        53°13'N
Drawsko                 16°02'E        52°51'N
Drawsko Pomorskie       15°48'E        53°32'N
Drelów                  22°53'E        51°55'N
Drezdenko               15°49'E        52°51'N
Drobin                  19°59'E        52°44'N
Drohiczyn               22°39'E        52°24'N
Drohobycz               23°30'E        49°21'N
Drużbice                19°24'E        51°27'N
Drwinia                 20°26'E        50°06'N
Drzewica                20°28'E        51°27'N
Drzycim                 18°19'E        53°31'N
Dubeninki               22°34'E        54°18'N
Dubicze Cerkiewne       23°26'E        52°39'N
Dubiecko                22°24'E        49°50'N
Dubienka                23°53'E        51°03'N
Dukla                   21°41'E        49°33'N
Duszniki                16°24'E        52°27'N
Duszniki-Zdrój          16°23'E        50°24'N
Dwikozy                 21°47'E        50°44'N
Dydnia                  22°12'E        49°41'N
Dygowo                  15°43'E        54°08'N
Dynów                   22°14'E        49°49'N
Dywity                  20°29'E        53°50'N
Dziadkowice             22°54'E        52°34'N
Dziadowa Kłoda          17°42'E        51°14'N
Działdowo               20°11'E        53°14'N
Działoszyce             20°21'E        50°22'N
Działoszyn              18°52'E        51°07'N
Dziemiany               17°47'E        54°01'N
Dzierzążnia             20°14'E        52°38'N
Dzierzgoń               19°21'E        53°56'N
Dzierzgowo              20°39'E        53°09'N
Dzierzkowice            22°05'E        50°58'N
Dzierżoniów             16°38'E        50°43'N
Dziwnów                 14°45'E        54°02'N
Dzwola                  22°35'E        50°42'N
Dźwierzuty              20°58'E        53°42'N
Elbląg                  19°24'E        54°10'N
Ełk                     22°21'E        53°29'N
Fabianki                19°06'E        52°43'N
Fajsławice              22°57'E        51°06'N
Fałków                  20°06'E        51°08'N
Filipów                 22°37'E        54°11'N
Firlej                  22°31'E        51°34'N
Frampol                 22°41'E        50°41'N
Fredropol               22°45'E        49°42'N
Frombork                19°41'E        54°21'N
Frysztak                21°37'E        49°50'N
Gać                     22°22'E        50°02'N
Galewice                18°16'E        51°20'N
Garbatka-Letnisko       21°37'E        51°30'N
Garbów                  22°21'E        51°21'N
Gardeja                 18°57'E        53°37'N
Garwolin                21°38'E        51°54'N
Gaszowice               18°26'E        50°07'N
Gaworzyce               15°53'E        51°38'N
Gąbin                   19°43'E        52°24'N
Gąsawa                  17°45'E        52°46'N
Gdańsk                  18°38'E        54°22'N
Gdów                    20°12'E        49°54'N
Gdynia                  18°32'E        54°32'N
Giby                    23°22'E        54°02'N
Gidle                   19°28'E        50°58'N
Gielniów                20°28'E        51°24'N
Gierałtowice            18°43'E        50°13'N
Gietrzwałd              20°15'E        53°45'N
Gilowice-Ślemień        19°18'E        49°42'N
Gizałki                 17°47'E        52°03'N
Giżycko                 21°47'E        54°02'N
Glinojeck               20°17'E        52°49'N
Gliwice                 18°40'E        50°17'N
Głębokie                27°41'E        55°08'N
Głogów                  16°05'E        51°39'N
Głogów Malopolski       21°58'E        50°09'N
Głogówek                17°51'E        50°21'N
Głowaczów               21°20'E        51°38'N
Głowno                  19°43'E        51°58'N
Główczyce               17°22'E        54°37'N
Głubczyce               17°50'E        50°12'N
Głuchołazy              17°23'E        50°19'N
Głuchów                 20°04'E        51°47'N
Głusk                   22°36'E        51°12'N
Głuszyca                16°22'E        50°41'N
Gniew                   18°49'E        53°51'N
Gniewino                18°01'E        54°43'N
Gniewkowo               18°25'E        52°54'N
Gniewoszów              21°49'E        51°28'N
Gniezno                 17°36'E        52°32'N
Gnojnik                 20°36'E        49°54'N
Gnojno                  20°51'E        50°37'N
Godkowo                 19°54'E        54°05'N
Godów                   18°29'E        49°56'N
Godzianów               20°02'E        51°53'N
Godziesze Wielkie       18°11'E        51°39'N
Godziszów               22°29'E        50°46'N
Gogolin                 18°02'E        50°30'N
Golczewo                14°58'E        53°59'N
Goleniów                14°49'E        53°33'N
Goleszów                18°44'E        49°44'N
Golina                  18°06'E        52°15'N
Golub-Dobrzyń           19°03'E        53°07'N
Gołańcz                 17°18'E        52°57'N
Gołcza                  19°55'E        50°21'N
Gołdap                  22°18'E        54°18'N
Gołuchów                17°56'E        51°51'N
Gołymin-Ośrodek         20°53'E        52°48'N
Gomunice                19°29'E        51°10'N
Goniądz                 22°44'E        53°29'N
Goraj                   22°41'E        50°43'N
Gorlice                 21°10'E        49°40'N
Gorzkowice              19°36'E        51°13'N
Gorzków                 23°00'E        50°56'N
Gorzów Śląski           18°26'E        51°02'N
Gorzów Wielkopolski     15°14'E        52°44'N
Gorzyce (katowickie)    18°24'E        49°58'N
Gorzyce (tarnobrzeskie) 21°50'E        50°40'N
Gostycyn                17°48'E        53°29'N
Gostynin                19°28'E        52°25'N
Gostyń                  17°01'E        51°53'N
Goszczanów              18°31'E        51°47'N
Goszczyn                20°52'E        51°44'N
Gościeradów             22°00'E        50°52'N
Gościno                 15°38'E        54°03'N
Gowarczów               20°27'E        51°17'N
Goworowo                21°34'E        52°54'N
Gozdnica                15°06'E        51°26'N
Gozdowo                 19°41'E        52°44'N
Góra                    16°33'E        51°40'N
Góra Kalwaria           21°13'E        51°59'N
Góra Świętej Małgorzaty 19°19'E        52°03'N
Górno                   20°49'E        50°51'N
Górowo Iławieckie       20°30'E        54°17'N
Górzno (siedleckie)     21°43'E        51°51'N
Górzno (toruńskie)      19°38'E        53°12'N
Górzyca                 14°38'E        52°29'N
Gózd                    21°23'E        51°23'N
Grabica                 19°32'E        51°29'N
Grabowiec               23°33'E        50°49'N
Grabowo                 22°09'E        53°28'N
Grabów                  19°01'E        52°07'N
Grabów nad Pilicą       21°14'E        51°44'N
Grabów nad Prosną       18°07'E        51°30'N
Grajewo                 22°27'E        53°39'N
Granowo                 16°32'E        52°13'N
Grążawy                 19°34'E        53°15'N
Grębków                 21°55'E        52°16'N
Grębocice               16°10'E        51°36'N
Gręboszów               20°47'E        50°15'N
Grębów                  21°53'E        50°34'N
Grodków                 17°23'E        50°42'N
Grodno                  23°50'E        53°41'N
Grodziczno              19°46'E        53°25'N
Grodziec                18°04'E        52°02'N
Grodzisk                22°45'E        52°35'N
Grodzisk Mazowiecki     20°37'E        52°06'N
Grodzisk Wielkopolski   16°22'E        52°14'N
Grodzisko Dolne         22°28'E        50°10'N
Gromadka                15°46'E        51°22'N
Gromnik                 20°57'E        49°50'N
Gronowo Elbląskie       19°18'E        54°05'N
Gródek                  23°40'E        53°06'N
Gródek nad Dunajcem     20°44'E        49°45'N
Grójec                  20°52'E        51°52'N
Grudusk                 20°36'E        53°04'N
Grudziądz               18°46'E        53°29'N
Grunwald                20°05'E        53°33'N
Gruta                   18°58'E        53°27'N
Grybów                  20°57'E        49°38'N
Gryfice                 15°12'E        53°54'N
Gryfino                 14°29'E        53°15'N
Gryfów Śląski           15°25'E        51°02'N
Grzegorzew              18°44'E        52°12'N
Grzmiąca                16°26'E        53°50'N
Gubin                   14°43'E        51°57'N
Gzy                     20°56'E        52°45'N
Haczów                  21°54'E        49°40'N
Hajnówka                23°35'E        52°45'N
Halinów                 21°21'E        52°14'N
Hanna                   23°31'E        51°43'N
Hańsk                   23°24'E        51°24'N
Harasiuki               22°29'E        50°28'N
Haźlach                 18°37'E        49°48'N
Hel                     18°48'E        54°36'N
Herby                   18°53'E        50°40'N
Horodło                 24°03'E        50°54'N
Horyniec                23°22'E        50°12'N
Hrubieszów              23°53'E        50°48'N
